State,No. of Operational PCS
Andaman & Nicobar Island,3
Andhra Pradesh,327
Arunanchal Pradesh,9
Assam,86
Bihar,124
Chandigarh,12
Chhattisgarh,149
Daman & Diu,1
NCT of Delhi,1886
Goa,113
Gujarat,476
Haryana,377
Himachal Pradesh,44
Jammu & Kashmir,47
Jharkhand,135
Karnataka,1041
Kerala,852
Lakshadweep,1
Madhya Pradesh,341
Maharashtra,3079
Manipur,17
Meghalaya,21
Nagaland,6
Odisha,198
Puducherry,23
Punjab,158
Rajasthan,500
Sikkim,2
Tamil Nadu,643
Telangana,481
Tripura,18
Uttar Pradesh,582
Uttarakhand,76
West Bengal,318
